code,name,freq,listed_in,amount,type_i
CHL,Chile,22,"Spanish-Language TV Shows",3,"TV Show"
CHL,Chile,22,"TV Dramas",2,Movie
BRA,Brazil,56,"Children & Family Movies",3,Movie
IND,India,748,"Teen TV Shows",1,"TV Show"
ARG,Argentina,61,Movies,1,Movie
MEX,Mexico,107,Movies,1,Movie
AUS,Australia,97,"Science & Nature TV",5,"TV Show"
NOR,Norway,17,"Children & Family Movies",1,Movie
NOR,Norway,17,Documentaries,3,Movie
NOR,Norway,17,"International TV Shows",4,"TV Show"
NOR,Norway,17,"TV Dramas",3,Movie
NOR,Norway,17,"TV Thrillers",1,Movie
CHE,Switzerland,15,"Children & Family Movies",1,Movie
BEL,Belgium,59,"Children & Family Movies",4,Movie
VNM,Vietnam,4,Comedies,2,Movie
BEL,Belgium,59,"LGBTQ Movies",2,Movie
NLD,Netherlands,31,"LGBTQ Movies",2,Movie
IND,India,748,"Crime TV Shows",5,"TV Show"
BGD,Bangladesh,2,Dramas,2,Movie
BGD,Bangladesh,2,"Independent Movies",2,Movie
BGD,Bangladesh,2,"International Movies",2,Movie
SGP,Singapore,25,Thrillers,3,Movie
VNM,Vietnam,4,"Horror Movies",1,Movie
VNM,Vietnam,4,Thrillers,1,Movie
ISL,Iceland,6,"Crime TV Shows",1,"TV Show"
ISL,Iceland,6,"International TV Shows",1,"TV Show"
ISL,Iceland,6,"TV Dramas",1,Movie
NLD,Netherlands,31,"Sci-Fi & Fantasy",2,Movie
KOR,"South Korea",133,"TV Comedies",4,Movie
PER,Peru,9,Comedies,3,Movie
USA,"United States",2054,"TV Thrillers",5,Movie
ARG,Argentina,61,"TV Horror",1,"TV Show"
CHE,Switzerland,15,"Independent Movies",3,Movie
ITA,Italy,55,"Independent Movies",2,Movie
DEU,Germany,122,Docuseries,4,"TV Show"
DEU,Germany,122,"Science & Nature TV",2,"TV Show"
ESP,Spain,155,"Science & Nature TV",1,"TV Show"
IRL,Ireland,24,"Children & Family Movies",3,Movie
ESP,Spain,155,"LGBTQ Movies",3,Movie
DEU,Germany,122,"Horror Movies",2,Movie
NZL,"New Zealand",17,Documentaries,4,Movie
NZL,"New Zealand",17,"Sports Movies",2,Movie
MEX,Mexico,107,"TV Action & Adventure",2,"TV Show"
FRA,France,227,"LGBTQ Movies",1,Movie
TUR,Turkey,79,"Independent Movies",2,Movie
LBN,Lebanon,9,"Children & Family Movies",1,Movie
LBN,Lebanon,9,Dramas,2,Movie
CHL,Chile,22,"Crime TV Shows",1,"TV Show"
GBR,"United Kingdom",1,Documentaries,1,Movie
GBR,"United Kingdom",1,"International Movies",1,Movie
HKG,"Hong Kong",96,"TV Comedies",1,Movie
HKG,"Hong Kong",96,"TV Dramas",3,Movie
DNK,Denmark,30,"Action & Adventure",3,Movie
PHL,Philippines,45,"Action & Adventure",5,Movie
ROU,Romania,5,Comedies,3,Movie
ROU,Romania,5,"International Movies",5,Movie
HKG,"Hong Kong",96,"Crime TV Shows",2,"TV Show"
MAR,Morocco,6,Dramas,4,Movie
MAR,Morocco,6,"Faith & Spirituality",2,Movie
ARG,Argentina,61,"Cult Movies",1,Movie
ZWE,Zimbabwe,2,Documentaries,2,Movie
NAM,Namibia,1,Documentaries,1,Movie
PAK,Pakistan,23,"Romantic Movies",4,Movie
ISR,Israel,20,Docuseries,3,"TV Show"
ROU,Romania,5,"Romantic Movies",1,Movie
HKG,"Hong Kong",96,Thrillers,2,Movie
BRA,Brazil,56,"Action & Adventure",3,Movie
IDN,Indonesia,49,"Sports Movies",4,Movie
IDN,Indonesia,49,"Children & Family Movies",3,Movie
CHN,China,111,"Cult Movies",1,Movie
HKG,"Hong Kong",96,"Cult Movies",4,Movie
ZAF,"South Africa",25,"Independent Movies",3,Movie
ROU,Romania,5,"Sci-Fi & Fantasy",1,Movie
ROU,Romania,5,Thrillers,1,Movie
ZWE,Zimbabwe,2,"International Movies",1,Movie
ITA,Italy,55,"Horror Movies",1,Movie
THA,Thailand,51,"Sports Movies",2,Movie
SGP,Singapore,25,"Action & Adventure",4,Movie
SGP,Singapore,25,"Cult Movies",1,Movie
DEU,Germany,122,"Cult Movies",1,Movie
LVA,Latvia,1,Dramas,1,Movie
FIN,Finland,6,Dramas,2,Movie
LVA,Latvia,1,"International Movies",1,Movie
ISR,Israel,20,"Crime TV Shows",3,"TV Show"
ISR,Israel,20,"TV Comedies",1,Movie
THA,Thailand,51,"Faith & Spirituality",3,Movie
KOR,"South Korea",133,"Horror Movies",3,Movie
TUR,Turkey,79,"TV Comedies",1,Movie
SGP,Singapore,25,"Kids' TV",1,"TV Show"
SGP,Singapore,25,"TV Comedies",2,Movie
EGY,Egypt,53,"Horror Movies",1,Movie
THA,Thailand,51,Documentaries,3,Movie
URY,Uruguay,7,Comedies,1,Movie
MWI,Malawi,1,"Children & Family Movies",1,Movie
MWI,Malawi,1,Dramas,1,Movie
MWI,Malawi,1,"Independent Movies",1,Movie
DNK,Denmark,30,"Kids' TV",1,"TV Show"
CHN,China,111,"Anime Features",1,Movie
NOR,Norway,17,"Crime TV Shows",1,"TV Show"
DNK,Denmark,30,"International TV Shows",3,"TV Show"
DNK,Denmark,30,"TV Dramas",3,Movie
SWE,Sweden,26,Comedies,4,Movie
JPN,Japan,161,"Independent Movies",3,Movie
CHL,Chile,22,"Stand-Up Comedy",3,Movie
ITA,Italy,55,"Sports Movies",1,Movie
IRL,Ireland,24,Documentaries,6,Movie
JOR,Jordan,6,Comedies,1,Movie
ARG,Argentina,61,"Action & Adventure",3,Movie
ARG,Argentina,61,"Horror Movies",3,Movie
MEX,Mexico,107,"Music & Musicals",1,Movie
PAK,Pakistan,23,"Action & Adventure",2,Movie
FRA,France,227,"Music & Musicals",2,Movie
HUN,Hungary,3,"Action & Adventure",2,Movie
HUN,Hungary,3,Dramas,2,Movie
HUN,Hungary,3,"International Movies",2,Movie
LKA,"Sri Lanka",1,Documentaries,1,Movie
LKA,"Sri Lanka",1,"International Movies",1,Movie
BEL,Belgium,59,"Music & Musicals",2,Movie
POL,Poland,24,"Crime TV Shows",2,"TV Show"
POL,Poland,24,"International TV Shows",3,"TV Show"
POL,Poland,24,"TV Dramas",2,Movie
HKG,"Hong Kong",96,"Sci-Fi & Fantasy",3,Movie
TWN,Taiwan,72,"TV Sci-Fi & Fantasy",1,"TV Show"
SRB,Serbia,4,"Action & Adventure",1,Movie
SRB,Serbia,4,"Sci-Fi & Fantasy",2,Movie
CZE,"Czech Republic",14,"Crime TV Shows",2,"TV Show"
CZE,"Czech Republic",14,Docuseries,4,"TV Show"
CZE,"Czech Republic",14,"International TV Shows",2,"TV Show"
MAR,Morocco,6,"Independent Movies",1,Movie
KHM,Cambodia,3,Dramas,1,Movie
UGA,Uganda,1,Documentaries,1,Movie
UKR,Ukraine,2,Documentaries,1,Movie
UKR,Ukraine,2,"International Movies",1,Movie
ROU,Romania,5,Dramas,2,Movie
THA,Thailand,51,"TV Horror",1,"TV Show"
ZAF,"South Africa",25,"British TV Shows",1,"TV Show"
ZAF,"South Africa",25,"International TV Shows",2,"TV Show"
AUS,Australia,97,"Romantic TV Shows",2,"TV Show"
ZAF,"South Africa",25,"Romantic TV Shows",1,"TV Show"
CHN,China,111,"Crime TV Shows",3,"TV Show"
CUB,Cuba,1,"Crime TV Shows",1,"TV Show"
CUB,Cuba,1,"International TV Shows",1,"TV Show"
CUB,Cuba,1,"Spanish-Language TV Shows",1,"TV Show"
CHN,China,111,"Faith & Spirituality",1,Movie
BEL,Belgium,59,"Sci-Fi & Fantasy",1,Movie
KOR,"South Korea",133,"Reality TV",1,"TV Show"
ITA,Italy,55,"Children & Family Movies",2,Movie
ITA,Italy,55,"Music & Musicals",3,Movie
ARG,Argentina,61,"Romantic Movies",3,Movie
CHL,Chile,22,Thrillers,1,Movie
BEL,Belgium,59,"Crime TV Shows",4,"TV Show"
BEL,Belgium,59,"International TV Shows",5,"TV Show"
BEL,Belgium,59,"TV Dramas",4,Movie
CAN,Canada,228,"TV Mysteries",1,"TV Show"
CAN,Canada,228,"TV Sci-Fi & Fantasy",1,"TV Show"
NOR,Norway,17,Docuseries,1,"TV Show"
NOR,Norway,17,"Science & Nature TV",1,"TV Show"
ECU,Ecuador,1,Documentaries,1,Movie
BMU,Bermuda,1,Documentaries,1,Movie
GHA,Ghana,1,Dramas,1,Movie
GHA,Ghana,1,"Independent Movies",1,Movie
GHA,Ghana,1,"International Movies",1,Movie
PER,Peru,9,"Romantic Movies",1,Movie
IRL,Ireland,24,"Horror Movies",2,Movie
COL,Colombia,30,"Sci-Fi & Fantasy",1,Movie
BGR,Bulgaria,7,"Sci-Fi & Fantasy",1,Movie
NLD,Netherlands,31,"Kids' TV",1,"TV Show"
IRL,Ireland,24,"Crime TV Shows",1,"TV Show"
IRL,Ireland,24,"International TV Shows",2,"TV Show"
IRL,Ireland,24,"TV Dramas",1,Movie
TWN,Taiwan,72,"Romantic Movies",2,Movie
ISR,Israel,20,Comedies,2,Movie
ISR,Israel,20,"Faith & Spirituality",1,Movie
COL,Colombia,30,"TV Dramas",4,Movie
QAT,Qatar,4,Dramas,3,Movie
QAT,Qatar,4,"Independent Movies",1,Movie
HKG,"Hong Kong",96,"Sports Movies",1,Movie
PRY,Paraguay,1,"Action & Adventure",1,Movie
PRY,Paraguay,1,"International Movies",1,Movie
CHL,Chile,22,"Action & Adventure",1,Movie
NLD,Netherlands,31,"Action & Adventure",1,Movie
EGY,Egypt,53,"Children & Family Movies",1,Movie
CAN,Canada,228,"Faith & Spirituality",2,Movie
POL,Poland,24,Docuseries,1,"TV Show"
HUN,Hungary,3,"Sci-Fi & Fantasy",1,Movie
TUR,Turkey,79,"TV Mysteries",1,"TV Show"
ISL,Iceland,6,"Independent Movies",2,Movie
ISL,Iceland,6,"Sci-Fi & Fantasy",1,Movie
ARE,"United Arab Emirates",19,"Independent Movies",2,Movie
AUS,Australia,97,"Stand-Up Comedy",1,Movie
FRA,France,227,"TV Mysteries",2,"TV Show"
KAZ,Kazakhstan,1,"Children & Family Movies",1,Movie
MEX,Mexico,107,"Reality TV",1,"TV Show"
SVK,Slovakia,1,Dramas,1,Movie
SVK,Slovakia,1,"International Movies",1,Movie
PER,Peru,9,"Sports Movies",1,Movie
CHL,Chile,22,"Sports Movies",1,Movie
THA,Thailand,51,"Music & Musicals",1,Movie
HKG,"Hong Kong",96,"Independent Movies",3,Movie
IRL,Ireland,24,"Sports Movies",2,Movie
CYM,"Cayman Islands",1,"Children & Family Movies",1,Movie
CYM,"Cayman Islands",1,Comedies,1,Movie
DNK,Denmark,30,Comedies,1,Movie
NOR,Norway,17,Comedies,1,Movie
ISL,Iceland,6,"International Movies",3,Movie
JPN,Japan,161,"TV Shows",1,"TV Show"
JPN,Japan,161,"TV Horror",1,"TV Show"
EGY,Egypt,53,"TV Comedies",2,Movie
IND,India,748,"Classic Movies",2,Movie
CZE,"Czech Republic",14,"British TV Shows",1,"TV Show"
CZE,"Czech Republic",14,"Science & Nature TV",1,"TV Show"
PER,Peru,9,Dramas,1,Movie
DEU,Germany,122,"Stand-Up Comedy",2,Movie
TWN,Taiwan,72,"Action & Adventure",2,Movie
DNK,Denmark,30,"TV Comedies",1,Movie
FIN,Finland,6,"Crime TV Shows",1,"TV Show"
FIN,Finland,6,"International TV Shows",1,"TV Show"
FIN,Finland,6,"TV Dramas",1,Movie
TUR,Turkey,79,"Music & Musicals",1,Movie
JPN,Japan,161,"TV Mysteries",3,"TV Show"
AUS,Australia,97,"Cult Movies",1,Movie
GRC,Greece,4,Dramas,2,Movie
GRC,Greece,4,"Independent Movies",2,Movie
CZE,"Czech Republic",14,Thrillers,1,Movie
TWN,Taiwan,72,"TV Mysteries",1,"TV Show"
ISL,Iceland,6,"Action & Adventure",1,Movie
QAT,Qatar,4,Comedies,1,Movie
LBN,Lebanon,9,Comedies,1,Movie
LBN,Lebanon,9,"International Movies",1,Movie
BEL,Belgium,59,"TV Sci-Fi & Fantasy",1,"TV Show"
FRA,France,227,"TV Sci-Fi & Fantasy",1,"TV Show"
IRL,Ireland,24,"British TV Shows",1,"TV Show"
IRL,Ireland,24,"TV Action & Adventure",1,"TV Show"
GRC,Greece,4,Comedies,1,Movie
GRC,Greece,4,"International Movies",1,Movie
GRC,Greece,4,"Romantic Movies",1,Movie
FIN,Finland,6,Documentaries,2,Movie
IDN,Indonesia,49,Documentaries,1,Movie
ZAF,"South Africa",25,"TV Dramas",1,Movie
ITA,Italy,55,"TV Dramas",2,Movie
DNK,Denmark,30,"Crime TV Shows",1,"TV Show"
MYS,Malaysia,19,"TV Dramas",1,Movie
SWE,Sweden,26,"Action & Adventure",1,Movie
THA,Thailand,51,Docuseries,1,"TV Show"
LBN,Lebanon,9,"Crime TV Shows",2,"TV Show"
BRA,Brazil,56,"Romantic TV Shows",1,"TV Show"
URY,Uruguay,7,"Sports Movies",1,Movie
CAN,Canada,228,"Science & Nature TV",2,"TV Show"
NZL,"New Zealand",17,Docuseries,1,"TV Show"
NZL,"New Zealand",17,"International TV Shows",1,"TV Show"
PHL,Philippines,45,"International TV Shows",1,"TV Show"
PHL,Philippines,45,"TV Dramas",1,Movie
RUS,Russia,17,Documentaries,2,Movie
RUS,Russia,17,"Sports Movies",1,Movie
ISR,Israel,20,"Sports Movies",1,Movie
PRT,Portugal,4,"Sports Movies",1,Movie
NLD,Netherlands,31,"International TV Shows",2,"TV Show"
NLD,Netherlands,31,"TV Dramas",2,Movie
ISL,Iceland,6,"Horror Movies",1,Movie
SAU,"Saudi Arabia",2,Comedies,1,Movie
SAU,"Saudi Arabia",2,"International Movies",1,Movie
SAU,"Saudi Arabia",2,"Romantic Movies",1,Movie
KOR,"South Korea",133,"Independent Movies",2,Movie
POL,Poland,24,Documentaries,1,Movie
SVN,Slovenia,3,"Horror Movies",1,Movie
SRB,Serbia,4,"Horror Movies",1,Movie
SRB,Serbia,4,"Independent Movies",1,Movie
SVN,Slovenia,3,"Sci-Fi & Fantasy",1,Movie
BRA,Brazil,56,"Science & Nature TV",1,"TV Show"
AUT,Austria,7,"Sports Movies",1,Movie
LUX,Luxembourg,7,"Independent Movies",1,Movie
JPN,Japan,161,"Stand-Up Comedy & Talk Shows",1,"TV Show"
FRA,France,227,"TV Action & Adventure",1,"TV Show"
BEL,Belgium,59,"TV Mysteries",1,"TV Show"
MEX,Mexico,107,"LGBTQ Movies",1,Movie
MEX,Mexico,107,"TV Comedies",1,Movie
TWN,Taiwan,72,Documentaries,1,Movie
TWN,Taiwan,72,"Sports Movies",1,Movie
KOR,"South Korea",133,"Music & Musicals",1,Movie
GBR,"United Kingdom",471,"Stand-Up Comedy & Talk Shows",1,"TV Show"
GEO,Georgia,2,Dramas,1,Movie
GEO,Georgia,2,"Independent Movies",1,Movie
GEO,Georgia,2,"International Movies",2,Movie
CZE,"Czech Republic",14,Documentaries,1,Movie
CZE,"Czech Republic",14,"Sports Movies",1,Movie
JOR,Jordan,6,Documentaries,1,Movie
ARM,Armenia,1,Documentaries,1,Movie
ARM,Armenia,1,"International Movies",1,Movie
DOM,"Dominican Republic",2,"Horror Movies",1,Movie
DOM,"Dominican Republic",2,Thrillers,1,Movie
BRA,Brazil,56,"LGBTQ Movies",2,Movie
IRL,Ireland,24,"Action & Adventure",1,Movie
ALB,Albania,1,Dramas,1,Movie
ALB,Albania,1,"International Movies",1,Movie
KHM,Cambodia,3,"Action & Adventure",1,Movie
KHM,Cambodia,3,"International Movies",1,Movie
NIC,Nicaragua,1,Documentaries,1,Movie
IND,India,748,"Stand-Up Comedy",1,Movie
PHL,Philippines,45,"Sports Movies",1,Movie
SWE,Sweden,26,"Romantic Movies",1,Movie
DNK,Denmark,30,"Romantic Movies",1,Movie
NOR,Norway,17,"Romantic Movies",1,Movie
BGR,Bulgaria,7,"Children & Family Movies",1,Movie
EGY,Egypt,53,Documentaries,1,Movie
NZL,"New Zealand",17,Comedies,1,Movie
PAN,Panama,1,Documentaries,1,Movie
PAN,Panama,1,"Sports Movies",1,Movie
JPN,Japan,161,"Sports Movies",1,Movie
IND,India,748,"Reality TV",1,"TV Show"
ARE,"United Arab Emirates",19,Documentaries,2,Movie
IDN,Indonesia,49,"International TV Shows",1,"TV Show"
IDN,Indonesia,49,"Romantic TV Shows",1,"TV Show"
IDN,Indonesia,49,"TV Dramas",1,Movie
PHL,Philippines,45,Thrillers,1,Movie
RUS,Russia,17,Docuseries,1,"TV Show"
RUS,Russia,17,"Science & Nature TV",1,"TV Show"
FRA,France,227,"Science & Nature TV",1,"TV Show"
PRT,Portugal,4,Comedies,1,Movie
EGY,Egypt,53,"TV Sci-Fi & Fantasy",1,"TV Show"
EGY,Egypt,53,"Crime TV Shows",1,"TV Show"
CHE,Switzerland,15,"Action & Adventure",1,Movie
CHE,Switzerland,15,"Sci-Fi & Fantasy",1,Movie
ARE,"United Arab Emirates",19,"Crime TV Shows",1,"TV Show"
ARE,"United Arab Emirates",19,"International TV Shows",1,"TV Show"
ARE,"United Arab Emirates",19,"TV Dramas",1,Movie
SEN,Senegal,2,Documentaries,1,Movie
KHM,Cambodia,3,"Children & Family Movies",1,Movie
KHM,Cambodia,3,Comedies,1,Movie
ZAF,"South Africa",25,"Crime TV Shows",2,"TV Show"
ITA,Italy,55,"Crime TV Shows",1,"TV Show"
ZAF,"South Africa",25,Docuseries,1,"TV Show"
GEO,Georgia,2,Documentaries,1,Movie
NLD,Netherlands,31,"Stand-Up Comedy",1,Movie
IND,India,748,"Stand-Up Comedy & Talk Shows",1,"TV Show"
FIN,Finland,6,"Sports Movies",1,Movie
COL,Colombia,30,Docuseries,1,"TV Show"
NOR,Norway,17,"TV Comedies",1,Movie
BRA,Brazil,56,"Romantic Movies",1,Movie
ZAF,"South Africa",25,Thrillers,1,Movie
ARG,Argentina,61,"Kids' TV",1,"TV Show"
URY,Uruguay,7,"Independent Movies",1,Movie
RUS,Russia,17,"Children & Family Movies",1,Movie
KOR,"South Korea",133,Documentaries,2,Movie
WSM,Samoa,1,Documentaries,1,Movie
WSM,Samoa,1,"Sports Movies",1,Movie
UKR,Ukraine,2,"International TV Shows",1,"TV Show"
UKR,Ukraine,2,"TV Comedies",1,Movie
RUS,Russia,17,"Romantic TV Shows",1,"TV Show"
DEU,Germany,122,"TV Comedies",2,Movie
JPN,Japan,161,"Classic Movies",2,Movie
ZAF,"South Africa",25,"Horror Movies",1,Movie
BRA,Brazil,56,"Sports Movies",1,Movie
ITA,Italy,55,"Spanish-Language TV Shows",1,"TV Show"
NPL,Nepal,2,Comedies,2,Movie
NPL,Nepal,2,Dramas,1,Movie
NPL,Nepal,2,"International Movies",2,Movie
DEU,Germany,122,"LGBTQ Movies",1,Movie
FRA,France,227,"Faith & Spirituality",1,Movie
IRL,Ireland,24,"Faith & Spirituality",1,Movie
MEX,Mexico,107,"Classic & Cult TV",2,"TV Show"
TUR,Turkey,79,"Sports Movies",1,Movie
JPN,Japan,161,Movies,2,Movie
ZAF,"South Africa",25,"TV Comedies",1,Movie
NLD,Netherlands,31,"Crime TV Shows",1,"TV Show"
HUN,Hungary,3,"Romantic Movies",1,Movie
KOR,"South Korea",133,Movies,1,Movie
FRA,France,227,Movies,1,Movie
SAU,"Saudi Arabia",2,"International TV Shows",1,"TV Show"
SAU,"Saudi Arabia",2,"TV Dramas",1,Movie
NPL,Nepal,2,"Action & Adventure",1,Movie
ESP,Spain,155,"Teen TV Shows",1,"TV Show"
